Date,Price
11/01/2023,"4,567.78"
10/01/2023,"4,193.80"
09/01/2023,"4,288.05"
08/01/2023,"4,507.66"
07/01/2023,"4,588.96"
06/01/2023,"4,450.38"
05/01/2023,"4,179.83"
04/01/2023,"4,169.48"
03/01/2023,"4,109.31"
02/01/2023,"3,970.15"
01/01/2023,"4,076.60"
12/01/2022,"3,839.50"
11/01/2022,"4,080.11"
10/01/2022,"3,871.98"
09/01/2022,"3,585.62"
08/01/2022,"3,955.00"
07/01/2022,"4,130.29"
06/01/2022,"3,785.38"
05/01/2022,"4,132.15"
04/01/2022,"4,131.93"
03/01/2022,"4,530.41"
02/01/2022,"4,373.79"
01/01/2022,"4,515.55"
12/01/2021,"4,766.18"
11/01/2021,"4,567.00"
10/01/2021,"4,605.38"
09/01/2021,"4,307.54"
08/01/2021,"4,522.68"
07/01/2021,"4,395.26"
06/01/2021,"4,297.50"
05/01/2021,"4,204.11"
04/01/2021,"4,181.17"
03/01/2021,"3,972.89"
02/01/2021,"3,811.15"
01/01/2021,"3,714.24"
12/01/2020,"3,756.07"
11/01/2020,"3,621.63"
10/01/2020,"3,269.96"
09/01/2020,"3,363.00"
08/01/2020,"3,500.31"
07/01/2020,"3,271.12"
06/01/2020,"3,100.29"
05/01/2020,"3,044.31"
04/01/2020,"2,912.43"
03/01/2020,"2,584.59"
02/01/2020,"2,954.22"
01/01/2020,"3,225.52"
12/01/2019,"3,230.78"
11/01/2019,"3,140.98"
10/01/2019,"3,037.56"
09/01/2019,"2,976.74"
08/01/2019,"2,926.46"
07/01/2019,"2,980.38"
06/01/2019,"2,941.76"
05/01/2019,"2,752.06"
04/01/2019,"2,945.83"
03/01/2019,"2,834.40"
02/01/2019,"2,784.49"
01/01/2019,"2,704.10"
12/01/2018,"2,506.85"
11/01/2018,"2,760.17"
10/01/2018,"2,711.74"
09/01/2018,"2,913.98"
08/01/2018,"2,901.52"
07/01/2018,"2,816.29"
06/01/2018,"2,718.37"
05/01/2018,"2,705.27"
04/01/2018,"2,648.05"
03/01/2018,"2,640.87"
02/01/2018,"2,713.83"
01/01/2018,"2,823.81"
12/01/2017,"2,673.61"
11/01/2017,"2,647.58"
10/01/2017,"2,575.26"
09/01/2017,"2,519.36"
08/01/2017,"2,471.65"
07/01/2017,"2,470.30"
06/01/2017,"2,423.41"
05/01/2017,"2,411.80"
04/01/2017,"2,384.20"
03/01/2017,"2,362.72"
02/01/2017,"2,363.64"
01/01/2017,"2,278.87"
12/01/2016,"2,238.83"
11/01/2016,"2,198.81"
10/01/2016,"2,126.15"
09/01/2016,"2,168.27"
08/01/2016,"2,170.95"
07/01/2016,"2,173.60"
06/01/2016,"2,098.86"
05/01/2016,"2,096.96"
04/01/2016,"2,065.30"
03/01/2016,"2,059.74"
02/01/2016,"1,932.23"
01/01/2016,"1,940.24"
12/01/2015,"2,043.94"
11/01/2015,"2,080.41"
10/01/2015,"2,079.36"
09/01/2015,"1,920.03"
08/01/2015,"1,972.18"
07/01/2015,"2,103.84"
06/01/2015,"2,063.11"
05/01/2015,"2,107.39"
04/01/2015,"2,085.51"
03/01/2015,"2,067.89"
02/01/2015,"2,104.50"
01/01/2015,"1,994.99"
12/01/2014,"2,058.90"
11/01/2014,"2,067.56"
10/01/2014,"2,018.05"
09/01/2014,"1,972.29"
08/01/2014,"2,003.37"
07/01/2014,"1,930.67"
06/01/2014,"1,960.23"
05/01/2014,"1,923.57"
04/01/2014,"1,883.95"
03/01/2014,"1,872.34"
02/01/2014,"1,859.45"
01/01/2014,"1,782.59"
12/01/2013,"1,848.36"
11/01/2013,"1,805.81"
10/01/2013,"1,756.54"
09/01/2013,"1,681.55"
08/01/2013,"1,632.97"
07/01/2013,"1,685.73"
06/01/2013,"1,606.28"
05/01/2013,"1,630.74"
04/01/2013,"1,597.57"
03/01/2013,"1,569.19"
02/01/2013,"1,514.68"
01/01/2013,"1,498.11"
12/01/2012,"1,426.19"
11/01/2012,"1,416.18"
10/01/2012,"1,412.16"
09/01/2012,"1,440.67"
08/01/2012,"1,406.58"
07/01/2012,"1,379.32"
06/01/2012,"1,362.16"
05/01/2012,"1,310.33"
04/01/2012,"1,397.91"
03/01/2012,"1,408.47"
02/01/2012,"1,365.68"
01/01/2012,"1,312.41"
12/01/2011,"1,257.60"
11/01/2011,"1,246.96"
10/01/2011,"1,253.30"
09/01/2011,"1,131.42"
08/01/2011,"1,218.89"
07/01/2011,"1,292.28"
06/01/2011,"1,320.64"
05/01/2011,"1,345.20"
04/01/2011,"1,363.61"
03/01/2011,"1,325.83"
02/01/2011,"1,327.22"
01/01/2011,"1,286.12"
12/01/2010,"1,257.64"
11/01/2010,"1,180.55"
10/01/2010,"1,183.26"
09/01/2010,"1,141.20"
08/01/2010,"1,049.33"
07/01/2010,"1,101.60"
06/01/2010,"1,030.71"
05/01/2010,"1,089.41"
04/01/2010,"1,186.69"
03/01/2010,"1,169.43"
02/01/2010,"1,104.49"
01/01/2010,"1,073.87"
12/01/2009,"1,115.10"
11/01/2009,"1,095.63"
10/01/2009,"1,036.19"
09/01/2009,"1,057.08"
08/01/2009,"1,020.62"
07/01/2009,987.48
06/01/2009,919.32
05/01/2009,919.14
04/01/2009,872.81
03/01/2009,797.87
02/01/2009,735.09
01/01/2009,825.88
12/01/2008,903.25
11/01/2008,896.24
10/01/2008,968.75
09/01/2008,"1,166.36"
08/01/2008,"1,282.83"
07/01/2008,"1,267.38"
06/01/2008,"1,280.00"
05/01/2008,"1,400.38"
04/01/2008,"1,385.59"
03/01/2008,"1,322.70"
02/01/2008,"1,330.63"
01/01/2008,"1,378.55"
12/01/2007,"1,468.36"
11/01/2007,"1,481.14"
10/01/2007,"1,549.38"
09/01/2007,"1,526.75"
08/01/2007,"1,473.99"
07/01/2007,"1,455.27"
06/01/2007,"1,503.35"
05/01/2007,"1,530.62"
04/01/2007,"1,482.37"
03/01/2007,"1,420.86"
02/01/2007,"1,406.82"
01/01/2007,"1,438.24"
12/01/2006,"1,418.30"
11/01/2006,"1,400.63"
10/01/2006,"1,377.94"
09/01/2006,"1,335.85"
08/01/2006,"1,303.82"
07/01/2006,"1,276.66"
06/01/2006,"1,270.20"
05/01/2006,"1,270.09"
04/01/2006,"1,310.61"
03/01/2006,"1,294.83"
02/01/2006,"1,280.66"
01/01/2006,"1,280.08"
12/01/2005,"1,248.29"
11/01/2005,"1,249.48"
10/01/2005,"1,207.01"
09/01/2005,"1,228.81"
08/01/2005,"1,220.33"
07/01/2005,"1,234.18"
06/01/2005,"1,191.33"
05/01/2005,"1,191.50"
04/01/2005,"1,156.85"
03/01/2005,"1,180.59"
02/01/2005,"1,203.60"
01/01/2005,"1,181.27"
12/01/2004,"1,211.92"
11/01/2004,"1,173.82"
10/01/2004,"1,130.20"
09/01/2004,"1,114.58"
08/01/2004,"1,104.24"
07/01/2004,"1,101.72"
06/01/2004,"1,140.84"
05/01/2004,"1,120.68"
04/01/2004,"1,107.30"
03/01/2004,"1,126.21"
02/01/2004,"1,144.94"
01/01/2004,"1,131.13"
12/01/2003,"1,111.92"
11/01/2003,"1,058.20"
10/01/2003,"1,050.71"
09/01/2003,995.97
08/01/2003,"1,008.01"
07/01/2003,993.32
06/01/2003,974.50
05/01/2003,963.59
04/01/2003,916.92
03/01/2003,848.18
02/01/2003,841.15
01/01/2003,855.70
12/01/2002,879.82
11/01/2002,936.31
10/01/2002,885.76
09/01/2002,815.28
08/01/2002,916.07
07/01/2002,911.62
06/01/2002,989.82
05/01/2002,"1,067.14"
04/01/2002,"1,076.92"
03/01/2002,"1,147.39"
02/01/2002,"1,106.73"
01/01/2002,"1,130.20"
12/01/2001,"1,148.08"
11/01/2001,"1,139.45"
10/01/2001,"1,059.78"
09/01/2001,"1,040.94"
08/01/2001,"1,133.58"
07/01/2001,"1,211.23"
06/01/2001,"1,224.38"
05/01/2001,"1,255.82"
04/01/2001,"1,249.46"
03/01/2001,"1,160.33"
02/01/2001,"1,239.94"
01/01/2001,"1,366.01"
12/01/2000,"1,320.28"
11/01/2000,"1,314.95"
10/01/2000,"1,429.40"
09/01/2000,"1,436.51"
08/01/2000,"1,517.68"
07/01/2000,"1,430.83"
06/01/2000,"1,454.60"
05/01/2000,"1,420.60"
04/01/2000,"1,452.43"
03/01/2000,"1,498.58"
02/01/2000,"1,366.42"
01/01/2000,"1,394.46"
12/01/1999,"1,469.25"
11/01/1999,"1,388.91"
10/01/1999,"1,362.93"
09/01/1999,"1,282.71"
08/01/1999,"1,320.41"
07/01/1999,"1,328.72"
06/01/1999,"1,372.71"
05/01/1999,"1,301.84"
04/01/1999,"1,335.18"
03/01/1999,"1,286.37"
02/01/1999,"1,238.33"
01/01/1999,"1,279.64"
12/01/1998,"1,229.23"
11/01/1998,"1,163.63"
10/01/1998,"1,098.67"
09/01/1998,"1,017.01"
08/01/1998,957.28
07/01/1998,"1,120.67"
06/01/1998,"1,133.84"
05/01/1998,"1,090.82"
04/01/1998,"1,111.75"
03/01/1998,"1,101.75"
02/01/1998,"1,049.34"
01/01/1998,980.28
12/01/1997,970.43
11/01/1997,955.40
10/01/1997,914.62
09/01/1997,947.28
08/01/1997,899.47
07/01/1997,954.31
06/01/1997,885.14
05/01/1997,848.28
04/01/1997,801.34
03/01/1997,757.12
02/01/1997,790.82
01/01/1997,786.16
12/01/1996,740.74
11/01/1996,757.02
10/01/1996,705.27
09/01/1996,687.33
08/01/1996,651.99
07/01/1996,639.95
06/01/1996,670.63
05/01/1996,669.12
04/01/1996,654.17
03/01/1996,645.50
02/01/1996,640.43
01/01/1996,636.02
